mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->cash; 1->aggressive; 2->defensive; 3->cautious,-0.012514812599423037,1924,0.009636226611226612,0.06871080004763375,0.008741819917832183,0.07146784550618547,-0.012514812599423037,-0.21534190816398813,0.040595070380703945,1.0687108000476337,0.13290020790020796,255.70000000000013
0->defensive; 1->cash; 2->cautious; 3->aggressive,-0.9530620418245118,1924,0.009636226611226612,-0.44949937611465407,-0.07520557617638834,0.08902023065066833,-0.9530620418245118,-0.48310107059022145,-0.15567255126242438,0.5505006238853459,0.5298336798336799,1019.4000000000001
0->rebound; 1->cash; 2->cautious; 3->aggressive,-0.960370100466694,1924,0.009636226611226612,-0.45249199663024475,-0.07586560456924174,0.08903008448401147,-0.960370100466694,-0.4859110262442604,-0.156130650410689,0.5475080033697552,0.5294178794178794,1018.6000000000001
0->cautious; 1->cash; 2->defensive; 3->rebound,-0.9833262391895385,1924,0.009636226611226612,-0.3856458336153137,-0.061816690481023895,0.07266450771327153,-0.9833262391895385,-0.42139109897547833,-0.14669671626030512,0.6143541663846863,0.4170997920997921,802.5
0->defensive; 1->cash; 2->aggressive; 3->cautious,-0.9834959995847316,1924,0.009636226611226612,-0.49500713878173896,-0.0855980324814547,0.09683238074470332,-0.9834959995847316,-0.5327270172786029,-0.16067897760981975,0.504992861218261,0.5274948024948025,1014.9000000000001
0->rebound; 1->cash; 2->aggressive; 3->cautious,-0.9902438438412405,1924,0.009636226611226612,-0.49774853821300713,-0.08624973046210538,0.09683065203554526,-0.9902438438412405,-0.5352636509371247,-0.16113504122893785,0.5022514617869929,0.5270790020790022,1014.1000000000001
0->aggressive; 1->cash; 2->defensive; 3->rebound,-0.9975608977359157,1924,0.009636226611226612,-0.39112827559240004,-0.0629175414687203,0.07273116683364034,-0.9975608977359157,-0.4265545533815258,-0.14750174618917872,0.6088717244076,0.417931392931393,804.1000000000001
0->cautious; 1->cash; 2->rebound; 3->defensive,-1.0307334965390207,1924,0.009636226611226612,-0.4200154685191567,-0.06886433791275137,0.07615990436671151,-1.0307334965390207,-0.4547708179294946,-0.15142646625014483,0.5799845314808433,0.41476091476091476,798.0
0->aggressive; 1->cash; 2->rebound; 3->defensive,-1.0444159630725518,1924,0.009636226611226612,-0.42518595047990815,-0.06995580703581628,0.07620721672320314,-1.0444159630725518,-0.45963146075245565,-0.1521997796262525,0.5748140495200919,0.41559251559251564,799.6000000000001
0->cash; 1->rebound; 2->defensive; 3->aggressive,-1.0749051609217335,1924,0.009636226611226612,-0.5144313797931956,-0.09028363907238135,0.09295691314564576,-1.0749051609217335,-0.535403234640069,-0.1686273694873651,0.4855686202068043,0.619074844074844,1191.1
0->cautious; 1->rebound; 2->defensive; 3->aggressive,-1.0809296231987564,1924,0.009636226611226612,-0.5170175676674293,-0.09091972850785768,0.0930272914729755,-1.0809296231987564,-0.5378777242816573,-0.16903419569806905,0.4829824323325706,0.617099792099792,1187.3
0->cash; 1->rebound; 2->aggressive; 3->defensive,-1.1219841022752963,1924,0.009636226611226612,-0.5642892513954555,-0.10310165002790417,0.10048081466618568,-1.1219841022752963,-0.5964350642261376,-0.1728631601525247,0.4357107486045445,0.6214137214137214,1195.6
0->cautious; 1->rebound; 2->aggressive; 3->defensive,-1.1276518683314705,1924,0.009636226611226612,-0.5666048768459702,-0.10372741867978563,0.10053071207051756,-1.1276518683314705,-0.5985798477532969,-0.1732891928605933,0.4333951231540298,0.6194386694386694,1191.8
0->cash; 1->cautious; 2->defensive; 3->aggressive,-1.1597927731481388,1924,0.009636226611226612,-0.5358274025013361,-0.0956373099849428,0.09076926415950598,-1.1597927731481388,-0.5564483025389066,-0.17187097084954425,0.46417259749866396,0.6229729729729729,1198.6
0->rebound; 1->cautious; 2->defensive; 3->aggressive,-1.1711459271030031,1924,0.009636226611226612,-0.5402440316794201,-0.09676906406315311,0.09085570654511724,-1.1711459271030031,-0.5606687226575264,-0.17259579525762597,0.4597559683205799,0.620997920997921,1194.8
0->cash; 1->cautious; 2->aggressive; 3->defensive,-1.1806386173611123,1924,0.009636226611226612,-0.5771953547371582,-0.10662692957164355,0.09847480378266306,-1.1806386173611123,-0.6099926216876075,-0.17480035951361042,0.42280464526284184,0.6175155925155925,1188.1
0->rebound; 1->cautious; 2->aggressive; 3->defensive,-1.1913268940821795,1924,0.009636226611226612,-0.5812101280140836,-0.10774263210361612,0.0985278342140287,-1.1913268940821795,-0.6136959660519511,-0.1755635331885095,0.4187898719859164,0.6155405405405405,1184.3
0->cautious; 1->cash; 2->defensive; 3->aggressive,-1.2686180635673598,1924,0.009636226611226612,-0.5685507063492723,-0.10425550526449434,0.08977621803323285,-1.2686180635673598,-0.5855008484095845,-0.17806209085381694,0.4314492936507277,0.6390852390852391,1229.6
0->rebound; 1->cash; 2->defensive; 3->aggressive,-1.2739258515132292,1924,0.009636226611226612,-0.5703677060846363,-0.10475050024775034,0.08979072582843263,-1.2739258515132292,-0.5872464645453201,-0.17837570180836113,0.4296322939153637,0.6390852390852391,1229.6
0->cautious; 1->cash; 2->aggressive; 3->defensive,-1.2848026842770373,1924,0.009636226611226612,-0.6087571695383318,-0.11565892385525656,0.09752092831047218,-1.2848026842770373,-0.6373778938549093,-0.18146051968596325,0.39124283046166813,0.6359667359667359,1223.6
