mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.5880734992769925,1924,0.009636226611226612,0.6605083474027509,0.06867719671480188,0.10039726356682158,0.5880734992769925,-0.2319929766252301,0.29603136143964187,166050.83474027508,0.021725571725571727,41.800000000000004
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.45443469706290296,1924,0.009636226611226612,0.5157903631278422,0.055989491750853215,0.10200203778280244,0.45443469706290296,-0.2605922997360708,0.21485474362657553,151579.0363127842,0.019126819126819124,36.8
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.4196459872134339,1924,0.009636226611226612,0.4892257592688789,0.05354690412551255,0.10463742976756446,0.4196459872134339,-0.2626670741885272,0.2038584557692971,148922.5759268879,0.014864864864864864,28.599999999999998
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.4058779319092934,1924,0.009636226611226612,0.4971599720138462,0.054280386090604704,0.10999405478727847,0.4058779319092934,-0.25099534031674864,0.21626053305254384,149715.99720138463,0.013825363825363824,26.599999999999998
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.3736193805217755,1924,0.009636226611226612,0.4235209332165426,0.04733871627852615,0.10091149344192583,0.3736193805217755,-0.2663269586124971,0.1777466183864754,142352.09332165425,0.020062370062370067,38.60000000000001
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.3546517103698978,1924,0.009636226611226612,0.4349603782292222,0.0484372469946206,0.10940598691297712,0.3546517103698978,-0.2610835063929776,0.18552396382218733,143496.03782292223,0.018503118503118504,35.6
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.3342996592336354,1924,0.009636226611226612,0.402386632697622,0.045288851090975024,0.1066487012325415,0.3342996592336354,-0.2695773664118859,0.16799945668205105,140238.6632697622,0.016424116424116425,31.6
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.3251108549794351,1924,0.009636226611226612,0.40986577823787496,0.04601732128233382,0.11190366028660748,0.3251108549794351,-0.2580131657767166,0.17835260903762173,140986.5778237875,0.015384615384615382,29.599999999999994
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.32129003919360927,1924,0.009636226611226612,0.37915586694846337,0.04300443760103545,0.1038569731995369,0.32129003919360927,-0.2642558727655464,0.16273786898651038,137915.58669484634,0.028586278586278588,55.0
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.3155174223207517,1924,0.009636226611226612,0.38283285261528954,0.04336823337270679,0.10691012405390589,0.3155174223207517,-0.2705478561033702,0.16029782677759152,138283.28526152894,0.028066528066528068,54.0
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.29235738817271684,1924,0.009636226611226612,0.35023471181604493,0.040113257114936296,0.10424580235237524,0.29235738817271684,-0.27806902097007247,0.14425647623383958,135023.4711816045,0.0264033264033264,50.8
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.2881964332829517,1924,0.009636226611226612,0.3680012921967877,0.04189563923510531,0.11193550265837732,0.2881964332829517,-0.2619132846391753,0.15995996267551993,136800.12921967875,0.024324324324324322,46.8
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.24861482966062437,1924,0.009636226611226612,0.31830720780804245,0.03685835942785953,0.10949520933161118,0.24861482966062437,-0.27136599520177507,0.13582526948689125,131830.72078080426,0.03388773388773388,65.19999999999999
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.24436347547254855,1924,0.009636226611226612,0.3081484241431196,0.035808336664954865,0.10710319945776181,0.24436347547254855,-0.2760294364925381,0.12972651438906543,130814.84241431196,0.03492723492723493,67.2
