mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.8648013290799398,1925,0.009631428571428572,1.039509016597039,0.09779113346543666,0.10194214778531968,0.8648013290799398,-0.2502659395997754,0.39074887146778337,203950.9016597039,0.0017662337662337664,3.4000000000000004
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.48496156070396995,1925,0.009631428571428572,0.5478367333893706,0.05885562188396287,0.10150122669739121,0.48496156070396995,-0.24772529970802137,0.23758421910613242,154783.67333893705,0.001038961038961039,2.0
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.4237405204050122,1925,0.009631428571428572,0.46677713109012986,0.051425672797307254,0.09863169136133511,0.4237405204050122,-0.25263547621120075,0.20355681461900427,146677.71310901298,0.0013506493506493505,2.5999999999999996
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.3830721873434686,1925,0.009631428571428572,0.43914030567552453,0.04881076878815471,0.10227665048832513,0.3830721873434686,-0.2606052184163389,0.1872977413298585,143914.03056755246,0.0011428571428571427,2.1999999999999997
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.32177435887221995,1925,0.009631428571428572,0.4040061397436485,0.04542274025997206,0.1112310869454847,0.32177435887221995,-0.2523540922665215,0.1799960517858345,140400.61397436485,0.0014545454545454545,2.8
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.27694569836492133,1925,0.009631428571428572,0.36010326270516946,0.04108400399845902,0.1135694672736405,0.27694569836492133,-0.24497024946163526,0.16771017741439323,136010.32627051693,0.0014545454545454545,2.8
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.2736043410277703,1925,0.009631428571428572,0.3428580674540509,0.03934637494693893,0.1086055369731665,0.2736043410277703,-0.24772529970802115,0.15883066845943522,134285.80674540508,0.0012467532467532467,2.4
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.26654644088645413,1925,0.009631428571428572,0.3279228562018741,0.03782575792318488,0.10577642401823246,0.26654644088645413,-0.23210780323920865,0.16296633458807896,132792.2856201874,0.0014545454545454547,2.8000000000000003
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.21759309796703913,1925,0.009631428571428572,0.2745259824067412,0.032264760622261246,0.10401677379611167,0.21759309796703913,-0.2526354762112002,0.12771270728141243,127452.59824067412,0.0015584415584415584,3.0
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.18162389547891974,1925,0.009631428571428572,0.24855892299840154,0.029486889229058955,0.10932185220052675,0.18162389547891974,-0.2606052184163391,0.1131477313011865,124855.89229984015,0.0013506493506493505,2.5999999999999996
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.14917725617921485,1925,0.009631428571428572,0.22184062084726097,0.026575740130714287,0.11358508658269985,0.14917725617921485,-0.23312067781330104,0.11399992647583992,122184.0620847261,0.0016623376623376624,3.2
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.10222662913868466,1925,0.009631428571428572,0.17271077156359915,0.021075180157563267,0.11194491770446281,0.10222662913868466,-0.2536214518876102,0.0830969935733296,117271.07715635991,0.0017662337662337664,3.4000000000000004
