mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.1021761956075964,1924,0.009636226611226612,0.16003704097059335,0.019634070715601526,0.09784905422365925,0.1021761956075964,-0.27583906448030127,0.07117944208733956,116003.70409705934,0.12910602910602909,248.39999999999995
0->aggressive; 1->defensive; 2->rebound; 3->cautious,-0.1747551530615847,1924,0.009636226611226612,-0.05273074980970627,-0.0070701688935673745,0.09559887197664814,-0.1747551530615847,-0.307479278377196,-0.02299396866963549,94726.92501902937,0.22848232848232847,439.59999999999997
0->cautious; 1->aggressive; 2->defensive; 3->rebound,-0.3296813287385814,1924,0.009636226611226612,-0.16679798828376047,-0.023617238913978156,0.10086548016667597,-0.3296813287385814,-0.2963447995543952,-0.07969513536087251,83320.20117162395,0.3432432432432432,660.3999999999999
0->cautious; 1->aggressive; 2->rebound; 3->defensive,-0.4082859575404149,1924,0.009636226611226612,-0.22240369632873924,-0.032410165743302244,0.10298270508205469,-0.4082859575404149,-0.35292908448740523,-0.09183194915878021,77759.63036712608,0.34792099792099784,669.3999999999999
0->aggressive; 1->cautious; 2->defensive; 3->rebound,-0.4135827161346853,1924,0.009636226611226612,-0.20928639400765292,-0.030287823602334063,0.09653220179674821,-0.4135827161346853,-0.32533195938855397,-0.09309821162131933,79071.36059923471,0.3390852390852391,652.4
0->defensive; 1->rebound; 2->cautious; 3->aggressive,-0.45351802974249295,1924,0.009636226611226612,-0.26365657662433395,-0.03929384361544286,0.107890022044883,-0.45351802974249295,-0.3567287396872253,-0.11015048479103519,73634.3423375666,0.4502079002079002,866.1999999999999
0->aggressive; 1->cautious; 2->rebound; 3->defensive,-0.47731734364902717,1924,0.009636226611226612,-0.25316461843589755,-0.03751192123612712,0.09877736159116376,-0.47731734364902717,-0.3560264550394969,-0.10536273556403447,74683.53815641024,0.3375259875259875,649.4
0->rebound; 1->defensive; 2->cautious; 3->aggressive,-0.5358395875173915,1924,0.009636226611226612,-0.308004847359849,-0.04707843233106723,0.10584260712251516,-0.5358395875173915,-0.3971629804547908,-0.11853680893712143,69199.51526401509,0.45696465696465693,879.1999999999999
0->defensive; 1->rebound; 2->aggressive; 3->cautious,-0.5453004811799488,1924,0.009636226611226612,-0.3374092964812302,-0.05248252745739035,0.11391655832432286,-0.5453004811799488,-0.3946726951592122,-0.1329773457883088,66259.07035187699,0.45020790020790025,866.2
0->rebound; 1->defensive; 2->aggressive; 3->cautious,-0.6102249661764743,1924,0.009636226611226612,-0.3697816599411151,-0.05867864486042407,0.1119503056384198,-0.6102249661764743,-0.42626999533586263,-0.13765605250773175,63021.834005888486,0.4507276507276507,867.1999999999999
0->cautious; 1->rebound; 2->defensive; 3->aggressive,-0.7269386065870869,1924,0.009636226611226612,-0.42776497696733806,-0.0705034224971599,0.11024266476179488,-0.7269386065870869,-0.49594011259525106,-0.14216116161327624,57223.50230326619,0.5613305613305614,1080.0
0->rebound; 1->cautious; 2->defensive; 3->aggressive,-0.7779351323290851,1924,0.009636226611226612,-0.4482878340695492,-0.0749392545607942,0.10871790931823268,-0.7779351323290851,-0.5150075959462657,-0.14551096945104697,55171.21659304508,0.5644490644490644,1086.0
0->cautious; 1->rebound; 2->aggressive; 3->defensive,-0.8113938623334991,1924,0.009636226611226612,-0.49083912755145853,-0.08461306032620575,0.11615725890060284,-0.8113938623334991,-0.5333530031713847,-0.1586436371841646,50916.08724485415,0.5628898128898129,1083.0
