mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.48874411266532203,1924,0.009636226611226612,0.5538682821366452,0.05942662444667346,0.10187416389308385,0.48874411266532203,-0.2747724798022779,0.21627575108481006,155386.82821366453,0.027858627858627857,53.599999999999994
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.4438203176648421,1924,0.009636226611226612,0.5155909487616133,0.055971294859685994,0.1044005116580761,0.4438203176648421,-0.2288571046060267,0.24456874500811127,151559.09487616134,0.017255717255717253,33.199999999999996
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.40661075686080717,1924,0.009636226611226612,0.4808673619467403,0.05277052586286035,0.10608253353808755,0.40661075686080717,-0.24954371738150016,0.21146806025248574,148086.73619467404,0.02079002079002079,40.0
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.4044818947791284,1924,0.009636226611226612,0.4885253171904824,0.0534819884157951,0.10839981312021625,0.4044818947791284,-0.23951790717322063,0.22329014580574402,148852.53171904825,0.01632016632016632,31.4
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.4033688772237839,1924,0.009636226611226612,0.470006129784448,0.051755959867252566,0.10441988867836838,0.4033688772237839,-0.25913607291100793,0.19972502973380518,147000.6129784448,0.024324324324324322,46.8
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.4032179978743483,1924,0.009636226611226612,0.46963426434267275,0.05172110809471242,0.10437252728138488,0.4032179978743483,-0.2489272800359429,0.20777597412081292,146963.42643426728,0.02297297297297297,44.199999999999996
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.40220358551719526,1924,0.009636226611226612,0.46817884641081187,0.0515846304649028,0.10429644429881094,0.40220358551719526,-0.23583809039985248,0.21872900334904963,146817.88464108118,0.01902286902286902,36.599999999999994
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.38757869775345,1924,0.009636226611226612,0.435094411642009,0.04845007306017135,0.10014442660013102,0.38757869775345,-0.22566261923284991,0.2147013680195662,143509.4411642009,0.025675675675675674,49.4
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.3496405523895403,1924,0.009636226611226612,0.4239182087394764,0.04737699504402859,0.10794162225997851,0.3496405523895403,-0.24812166040890182,0.19094260035964541,142391.82087394764,0.029625779625779627,57.0
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.3276700109969546,1924,0.009636226611226612,0.3802482746725382,0.04311260680091511,0.10216491917534569,0.3276700109969546,-0.2347388698220516,0.18366198505427528,138024.8274672538,0.035862785862785865,69.0
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.32015518210638977,1924,0.009636226611226612,0.3885772419628575,0.04393489614536383,0.10713138956076475,0.32015518210638977,-0.24850639664086327,0.17679583599957674,138857.72419628574,0.03762993762993763,72.4
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.3022423942165421,1924,0.009636226611226612,0.36427713885636415,0.04152369740055217,0.10550297178522126,0.3022423942165421,-0.22869390816329183,0.18156888276579478,136427.71388563642,0.03981288981288981,76.6
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.26565092529771667,1924,0.009636226611226612,0.3351708649619767,0.03858598081521536,0.10897667369893244,0.26565092529771667,-0.24708202402019308,0.15616668581305565,133517.08649619768,0.04646569646569647,89.4
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.2474872401774537,1924,0.009636226611226612,0.3121380911447622,0.03622155509771119,0.10742100670492072,0.2474872401774537,-0.2373709343302306,0.15259473616647495,131213.80911447623,0.05,96.2
