mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.7243159596125597,1924,0.009636226611226612,0.8299149944839557,0.08236178058345422,0.1004058422392472,0.7243159596125597,-0.25844461348518344,0.3186825195262814,182991.49944839557,0.03575883575883576,68.8
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.4322755465918692,1924,0.009636226611226612,0.5422480714337352,0.058385550333759584,0.11277372524742744,0.4322755465918692,-0.2598737440722698,0.22466890813533977,154224.80714337353,0.023492723492723494,45.2
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.42575132425895895,1924,0.009636226611226612,0.4810197350921608,0.05278471323778944,0.10134668800306114,0.42575132425895895,-0.23492013732980366,0.2246921606540913,148101.97350921607,0.018814968814968813,36.199999999999996
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.4171613818878883,1924,0.009636226611226612,0.5277000453858045,0.05707251587596751,0.1137120820006521,0.4171613818878883,-0.23048711362176066,0.2476169490743243,152770.00453858046,0.029625779625779627,57.0
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.3704918236897606,1924,0.009636226611226612,0.43840259011050464,0.04876631326773695,0.10561659975869474,0.3704918236897606,-0.22898141549106077,0.21297061669024725,143840.25901105045,0.02027027027027027,39.0
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.366848179231995,1924,0.009636226611226612,0.46392906699015435,0.051185445662049744,0.11325998438320553,0.366848179231995,-0.24346198977224098,0.21023998739981464,146392.90669901544,0.026715176715176713,51.4
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.3040041173615525,1924,0.009636226611226612,0.35453822972831195,0.0405468576177348,0.10167833013177956,0.3040041173615525,-0.2702484574983054,0.15003548213772525,135453.8229728312,0.03284823284823285,63.2
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.2776555458591248,1924,0.009636226611226612,0.3401321637465895,0.039090637831875163,0.10608256042396126,0.2776555458591248,-0.2652499110769041,0.14737285932790223,134013.21637465895,0.02993762993762994,57.6
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.24247777631830192,1924,0.009636226611226612,0.29518377883836977,0.034457955841839416,0.10236702764062461,0.24247777631830192,-0.25595038515596813,0.1346274818881082,129518.37788383698,0.03752598752598753,72.2
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.21000150774276372,1924,0.009636226611226612,0.27207505138368915,0.03202157887831247,0.10659615022624627,0.21000150774276372,-0.24895894945492558,0.12862192320629964,127207.50513836891,0.03316008316008316,63.8
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.20403860017490943,1924,0.009636226611226612,0.2595752412731649,0.0306876377846923,0.10317366986158326,0.20403860017490943,-0.23174209089599418,0.13242151076674677,125957.52412731649,0.026091476091476093,50.2
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.1947622860720668,1924,0.009636226611226612,0.25039962768906254,0.02970110326753672,0.10302239237880795,0.1947622860720668,-0.22980138759055657,0.12924684040836162,125039.96276890625,0.024636174636174638,47.400000000000006
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.09811684744108273,1924,0.009636226611226612,0.16242266724149768,0.01990846977087024,0.10469397893987484,0.09811684744108273,-0.23881991973276773,0.08336184767647195,116242.26672414977,0.04189189189189189,80.6
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.08893129984596687,1924,0.009636226611226612,0.15396073379051223,0.018932941231906142,0.1045381618933027,0.08893129984596687,-0.23689600171091874,0.07992089817965681,115396.07337905122,0.04043659043659043,77.8
