mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.4139405777942864,1924,0.009636226611226612,0.4682276508693599,0.05158920886736862,0.10135025292686124,0.4139405777942864,-0.22876496203313956,0.22551184590888204,146822.76508693598,0.0420997920997921,81.0
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.32375478098001637,1924,0.009636226611226612,0.4179351622968748,0.04679952415301725,0.11478841309863012,0.32375478098001637,-0.22338180821240639,0.20950463481125162,141793.5162296875,0.06143451143451144,118.2
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.3091692782156937,1924,0.009636226611226612,0.35455042990991137,0.04054808514301178,0.09998360351386316,0.3091692782156937,-0.23711907028400248,0.1710030538431451,135455.04299099115,0.059771309771309775,115.0
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.3091069311948743,1924,0.009636226611226612,0.3736965699244632,0.04246274465021238,0.10619793581493817,0.3091069311948743,-0.2966719791819199,0.14313028405077022,137369.6569924463,0.09573804573804573,184.2
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.3087733911719379,1924,0.009636226611226612,0.39714779767028885,0.04477657420382131,0.11380626892498999,0.3087733911719379,-0.2684548661582892,0.16679367688354613,139714.77976702887,0.08097713097713098,155.8
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.3013167338423053,1924,0.009636226611226612,0.38447409613265493,0.04353034439940484,0.11248667591729833,0.3013167338423053,-0.23517858897016608,0.18509484468812315,138447.40961326548,0.06091476091476091,117.19999999999999
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.29681831062091757,1924,0.009636226611226612,0.3354019585251591,0.03860952351539648,0.09761290280090977,0.29681831062091757,-0.2967137970424174,0.13012378898537358,133540.1958525159,0.06548856548856549,126.0
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.28751644634767537,1924,0.009636226611226612,0.33521048333672754,0.03859001719607846,0.10070307612886907,0.28751644634767537,-0.2436020418938717,0.15841417787824083,133521.04833367275,0.06715176715176714,129.2
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.28131964208983584,1924,0.009636226611226612,0.3220299473462238,0.03724138578381475,0.09812737911764008,0.28131964208983584,-0.27463610813798445,0.13560265631605767,132202.9947346224,0.07120582120582121,137.0
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.26873423655779793,1924,0.009636226611226612,0.3196817910005547,0.03699989728984754,0.10182428197136577,0.26873423655779793,-0.2675342230833101,0.13829967943325808,131968.17910005548,0.06735966735966736,129.6
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.23331842573452852,1924,0.009636226611226612,0.2877772184248988,0.033681216818048476,0.10305654228175033,0.23331842573452852,-0.23627146336467741,0.14255304613770728,128777.72184248987,0.08045738045738046,154.8
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.19544621271027546,1924,0.009636226611226612,0.24442692445037428,0.029055550297475863,0.09935891525836812,0.19544621271027546,-0.2261412586918018,0.1284840743593562,124442.69244503744,0.09074844074844075,174.60000000000002
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.1746370654069993,1924,0.009636226611226612,0.22664300042758256,0.027117321566597408,0.10009956886661112,0.1746370654069993,-0.22928504275984452,0.11826903857396562,122664.30004275826,0.09812889812889813,188.8
