Date,SPY_ret,SPY_vol_21d,VIX_level,TLT_ret,GLD_ret,UUP_ret,curve_slope_10y2y,corr_60d_SPY_TLT,hmm_state,hmm_regime
2017-03-15,0.008653654823842283,0.07292811279538235,11.63,0.012215125130211835,0.01866453683847169,-0.011796034558472113,1.1799999999999997,-0.3296968569510506,0,risk-on
2017-03-16,-0.0019672491906090883,0.07303368538868445,11.21,-0.005062949337487632,0.0041290580645161334,-0.0034655347622138954,1.1799999999999997,-0.32362944357086415,0,risk-on
2017-03-17,-0.0017558465517739652,0.07191314917755127,11.28,0.006276071642677961,0.002227319397910099,0.0003863059892184051,1.17,-0.34444736026822026,0,risk-on
2017-03-20,-0.0010971723424896274,0.071982466156121,11.34,0.004298726549552656,0.00444485861090449,0.0003863417555312054,1.1700000000000002,-0.34141404185600416,0,risk-on
2017-03-21,-0.012839302303589983,0.08562527205260079,12.47,0.008308765597459411,0.00876520281226778,-0.006177555677518098,1.1600000000000001,-0.3641282389848876,0,risk-on
2017-03-22,0.0023531611974356714,0.08331724500047465,12.81,0.003995350698519751,0.002446439999608252,-0.0007770932082146187,1.13,-0.36383115763667206,0,risk-on
2017-03-23,-0.001066940735575006,0.08333741046447586,13.12,-0.0014093910383105035,-0.0013464949701842421,0.0011664067050094484,1.1500000000000001,-0.362215773415326,0,risk-on
2017-03-24,-0.0007264850183098526,0.08328547017369461,12.96,0.0035698503786785185,0.0016011039285599438,-0.0003882562885710872,1.14,-0.3613456005293299,0,risk-on
2017-03-27,-0.0010263396437137917,0.08311911191993673,12.5,0.004550090812633245,0.00563686685481346,-0.0054390478966585,1.1099999999999999,-0.3451565421509436,0,risk-on
2017-03-28,0.007276569426799329,0.08709131154577601,11.53,-0.006670531436394178,-0.004099372576753746,0.005468792923305266,1.1199999999999999,-0.3601122567453998,0,risk-on
2017-03-29,0.0009352448696067217,0.08665454183189016,11.42,0.00596911834548175,0.002436164294050913,0.0019425470018152868,1.1300000000000001,-0.3585694510121003,0,risk-on
2017-03-30,0.0031839097965193908,0.0714626201007033,11.54,-0.008076263430324415,-0.007206913480148902,0.006591650594479637,1.14,-0.3875811577492697,0,risk-on
2017-03-31,-0.002327515663443247,0.06866015909880066,12.37,0.0029077429064761073,0.0021102388612286305,-0.0003852077281321087,1.13,-0.40651170578859525,0,risk-on
2017-04-03,-0.0017390717487890672,0.06874952693302276,12.38,0.010086916401620627,0.005306578459344902,0.0,1.11,-0.41649388661277553,0,risk-on
2017-04-04,0.0006371551607187165,0.06818333065446357,11.79,-0.0054243963661514405,0.0022622958066575993,0.0011559301258943222,1.1099999999999999,-0.40641192008029137,0,risk-on
2017-04-05,-0.002972569958009985,0.06817603929642962,12.89,0.003057617176865479,0.0,-0.0003848190896438286,1.0999999999999999,-0.3986239344585371,0,risk-on
2017-04-06,0.0028110723426886253,0.06869060694492996,12.39,-0.0014829353759223673,-0.003678339650267315,0.0023104947866023906,1.0999999999999999,-0.3999682000937196,0,risk-on
2017-04-07,-0.0010194522190757338,0.06861117563644092,12.87,-0.004043477821807251,0.002349379090451409,0.00461006149323917,1.0899999999999999,-0.4000681722963845,0,risk-on
2017-04-10,0.0005954630243154568,0.06740494437401566,14.05,0.004639428386636446,0.0,-0.0019121816402731806,1.08,-0.40521144749861265,0,risk-on
2017-04-11,-0.0011897664968951727,0.06741899282846174,15.07,0.009483032001714742,0.0144818601580603,-0.0030651778542011288,1.0799999999999998,-0.40605597419860534,0,risk-on
