,train_activation_rate,mutual_info_mean,target_count,spy_up_next,tlt_up_next,gld_up_next,risk_off_next,is_cross_asset,passes_activation_rate
TLT_breakdown_20d,0.11034847,0.00035538021390423696,4,7.19424057448459e-05,0.00018104784165218213,0.00020429445707276228,0.0009642361511471575,False,True
credit_stress,0.10665259,0.0003512339810776144,4,0.00016328520277686387,0.0005546824218100044,0.000550816105379992,0.00013615219434359727,True,True
SPY_volume_spike,0.045406546,0.0003498139915070718,4,0.0005830682893352562,0.00040222951568638643,0.00035766234240366956,5.6295818602974945e-05,False,True
UUP_breakout_20d,0.118268214,0.0003471908771805962,4,0.0006143887086292044,0.00042143067492408925,0.00026993117444532033,8.30129507237709e-05,False,True
SPY_gap_up,0.2090813,0.000344323164186755,4,0.0006780369218829241,0.00015086295099495106,0.0002472587146489791,0.00030113406922016583,False,True
HYG_vol_regime_up,0.27243927,0.00034227250457067454,4,0.00043092896353513765,6.042511996928734e-06,0.0001637731779610685,0.0007683453647895633,False,True
TLT_gap_up,0.21013728,0.00034177483239687667,4,1.059212272325194e-05,0.001132608115857997,7.511285794181699e-06,0.000216387805212076,False,True
VIX_ret_up_large,0.20802534,0.00032463764507626586,4,3.1866436396965625e-05,1.7626256146902053e-05,0.0010546392195067145,0.00019441866825448129,False,True
UUP_gap_down,0.20485744,0.00032024345622755357,4,0.00023246087451408992,0.0008956370915513823,9.428873235239887e-05,5.858712649234321e-05,False,True
GLD_gap_down,0.20327349,0.0002991828128705229,4,0.0009043268753242406,1.3019514478462835e-06,0.00015317770177325496,0.00013792472293674973,False,True
flight_to_safety,0.07919747,0.0002882629514473767,4,0.00023462394028846145,0.0008882675266223689,1.2344666081021138e-08,3.0147994212595397e-05,True,True
UUP_vol_regime_up,0.21172123,0.000278294047119404,4,0.0005555367124895627,0.0004742429872946763,3.1892502377561804e-05,5.15039863158151e-05,False,True
VIX_breakdown_20d,0.12407603,0.00027537720021354045,4,2.3490042892482244e-06,0.0007199926221481967,0.00030489515080481255,7.427202361190433e-05,False,True
risk_off_classic,0.05438226,0.0002709951780873847,4,0.0004020840990928698,0.0005950001445244602,8.426734271629877e-05,2.6291260159100327e-06,True,True
HYG_volume_dryup,0.16156283,0.00024594421090567975,4,4.371139014838765e-05,4.914361348418161e-07,3.5257190994841814e-05,0.0009043168263446477,False,True
VIX_range_expand,0.20432946,0.00023750359428258844,4,0.00011419912820972988,0.0007367141199583205,1.0129679871212494e-05,8.897144909109089e-05,False,True
HYG_range_expand,0.21488912,0.00023436349024964082,4,0.00015781352327881581,2.9373175221919512e-05,0.0001995590201666897,0.0005507082423311382,False,True
UUP_ret_down_large,0.20538543,0.0002212117122869922,4,9.470052611315616e-06,0.00046707724299005493,0.00020661263781945882,0.00020168691572713948,False,True
gold_safe_haven,0.053326294,0.0002110844299828222,4,0.00029466286507146,0.00044805279605567017,3.729127479738803e-05,6.433078400677056e-05,True,True
GLD_ret_down_large,0.2090813,0.00020832135492622472,4,0.0006780369218829241,0.0001090730020386621,4.2532184272220386e-05,3.6433115110923175e-06,False,True
LQD_range_expand,0.20696938,0.00020287383532775413,4,3.229439270391321e-06,0.0001325533394382905,0.00013718897837305954,0.0005385235842292752,False,True
SPY_range_expand,0.2154171,0.00019913364372581982,4,5.9323005442979415e-06,0.00014120740196554848,0.0005389343485003306,0.00011046052389310224,False,True
HYG_gap_up,0.20749736,0.00019852222968740757,4,0.00045201120942295336,6.0993938399506176e-05,4.3046990046147204e-06,0.000276779071922556,False,True
GLD_range_expand,0.21805702,0.00019680852187561881,4,4.3190274921445226e-05,0.00016647270075759169,5.321144169179171e-07,0.0005770389974065204,False,True
UUP_gap_up,0.19957761,0.0001945043226243004,4,0.0005364608719037323,7.63816954130192e-10,0.00022548484387074907,1.607081090576612e-05,False,True
