overall_rank,experiment_name,source_family,raw_experiment_name,architecture,validation_rank,validation_sharpe,validation_annual_return,validation_max_drawdown,test_rank,test_sharpe,test_annual_return,test_max_drawdown,average_rank,rank_gap
27,CA:tcn_transformer,cluster_action,tcn_transformer,tcn_transformer,19,1.4429505030791494,0.1645205639312108,-0.0998316471016481,25,1.54963976633653,0.1795527798113829,-0.0977336099091042,22.0,6.0
28,RL:tcn_transformer__q_learning,rl,tcn_transformer__q_learning,tcn_transformer+q_learning,18,1.4717620658936963,0.1681107524800218,-0.099831647101648,28,1.4135389156905256,0.1660564916284037,-0.1024641402508558,23.0,10.0
29,CA:cls_token_transformer,cluster_action,cls_token_transformer,encoder_only,26,1.2918395162367524,0.1455561350091103,-0.1000837126837655,22,1.6910317974342537,0.1848252727160495,-0.0810130185441346,24.0,-4.0
30,RL:pure_rnn__q_learning,rl,pure_rnn__q_learning,pure_rnn+q_learning,21,1.3785608662819662,0.1591370579572084,-0.099831647101648,33,0.984866439357062,0.122666650199753,-0.0980760963915516,27.0,12.0
31,RL:patchtst__q_learning,rl,patchtst__q_learning,patchtst+q_learning,30,1.071968568500116,0.1280069148088736,-0.1192710141107568,27,1.441439553192085,0.1588930761023006,-0.0788824995572252,28.5,-3.0
32,CA:snn_event_lif_sparse,cluster_action,snn_event_lif_sparse,snn_event_lif,32,0.8772357340383367,0.10802304298241827,-0.11225220161464844,31,1.3184900964176274,0.14837425632768486,-0.07881393483116206,31.5,-1.0
33,CA:vae,cluster_action,vae,vae,34,0.7589753776864568,0.0943512883715356,-0.1152693130776105,30,1.3553163357677989,0.1461456828702001,-0.0831552096070155,32.0,-4.0
34,CA:pca_kmeans_baseline,cluster_action,pca_kmeans_baseline,pca_kmeans_baseline,33,0.7940657059705053,0.0998459358536087,-0.1129806499745438,35,0.5885197837933386,0.0794276191952181,-0.0987642167756818,34.0,2.0
35,CA:pathformer,cluster_action,pathformer,pathformer,35,0.5452593322794335,0.0745376461526838,-0.1416744836381243,34,0.8230311211292197,0.1024741776129578,-0.0956561334516284,34.5,-1.0
36,CA:patchtst,cluster_action,patchtst,patchtst,36,0.4156966650156933,0.0610985707314792,-0.1157677091051457,36,0.475380000762511,0.068962131795716,-0.1219923006582692,36.0,0.0
37,CA:random_choice,cluster_action,random_choice,random_choice,37,0.2522197847749758,0.045134305737305,-0.1607562470673201,37,0.0662215463154363,0.0271566965220064,-0.1101971088075097,37.0,0.0
38,RL:random_choice,rl,random_choice,random_choice,38,0.2522197847749758,0.045134305737305,-0.1607562470673201,38,0.0662215463154363,0.0271566965220064,-0.1101971088075097,38.0,0.0
